OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2025-03-12T05:31:31.877184,15.49915510,.0006387,51.6371,67.2508,13.3406,82.7568,0,U,25544,999,50012,.24077E-3,.13274E-3,0
CSS (TIANHE),2021-035A,2025-03-11T12:12:53.727552,15.61317540,.0006959,41.4636,255.4627,324.3471,35.6902,0,U,48274,999,22088,.21253E-3,.18315E-3,0
ISS (NAUKA),2021-066A,2025-03-11T19:49:41.589120,15.49902436,.0006391,51.6353,69.2581,10.5433,349.5688,0,U,49044,999,20595,.22911E-3,.12602E-3,0
FREGAT DEB,2011-037PF,2025-03-08T16:12:57.124224,12.27890519,.090855,51.6599,301.3428,335.1230,20.8289,0,U,49271,999,16755,.19934E-1,.8999E-4,0
CSS (WENTIAN),2022-085A,2025-03-11T12:12:53.727552,15.61317540,.0006959,41.4636,255.4627,324.3471,35.6902,0,U,53239,999,21494,.21253E-3,.18315E-3,0
CSS (MENGTIAN),2022-143A,2025-03-11T12:12:53.727552,15.61317540,.0006959,41.4636,255.4627,324.3471,35.6902,0,U,54216,999,13479,.21253E-3,.18315E-3,0
CYGNUS NG-21,2024-139A,2025-03-11T19:49:41.589120,15.49902436,.0006391,51.6353,69.2581,10.5433,349.5688,0,U,60378,999,3386,.22911E-3,.12602E-3,0
SOYUZ-MS 26,2024-162A,2025-03-11T19:49:41.589120,15.49902436,.0006391,51.6353,69.2581,10.5433,349.5688,0,U,61043,999,49985,.22911E-3,.12602E-3,0
CREW DRAGON 9,2024-178A,2025-03-11T19:49:41.589120,15.49902436,.0006391,51.6353,69.2581,10.5433,349.5688,0,U,61447,999,2525,.22911E-3,.12602E-3,0
SHENZHOU-19 (SZ-19),2024-194A,2025-03-11T12:12:53.727552,15.61317540,.0006959,41.4636,255.4627,324.3471,35.6902,0,U,61683,999,22087,.21253E-3,.18315E-3,0
TIANZHOU-8,2024-211A,2025-03-11T12:12:53.727552,15.61317540,.0006959,41.4636,255.4627,324.3471,35.6902,0,U,61983,999,1629,.21253E-3,.18315E-3,0
PROGRESS-MS 29,2024-215A,2025-03-11T19:49:41.589120,15.49902436,.0006391,51.6353,69.2581,10.5433,349.5688,0,U,62030,999,1410,.22911E-3,.12602E-3,0
2024-013E,2024-013E,2025-03-11T12:18:08.635680,16.13471546,.0036882,41.4627,235.3291,281.0165,78.6545,0,U,62056,999,1890,.68447E-3,.966573E-2,.76351E-5
1998-067XC,1998-067XC,2025-03-11T23:27:50.410656,15.81002032,.0006689,51.6251,59.7356,21.9121,338.2165,0,U,62296,999,1448,.18069E-2,.375067E-2,0
YOMOGI,1998-067XE,2025-03-11T06:25:09.020064,15.81528891,.0007148,51.6231,63.2367,20.3391,339.7894,0,U,62298,999,1437,.16367E-2,.346984E-2,0
ISS DEB,1998-067XG,2025-03-11T16:07:48.356544,15.76554428,.0006574,51.6289,62.9754,29.2067,330.9299,0,U,62376,999,1280,.16436E-2,.275836E-2,0
PROGRESS-MS 30,2025-041B,2025-03-11T19:49:41.589120,15.49902436,.0006391,51.6353,69.2581,10.5433,349.5688,0,U,63129,999,162,.22911E-3,.12602E-3,0
